text_len,word_count,title_len,keyword_hits,n_scripts,n_images,n_forms,n_inputs,n_iframes,has_password_field,has_submit_field,has_email_field,n_links,n_external_links,external_link_ratio,url,final_url,label,y_true,y_pred,etype
273,43,17,0,0,0,0,0,0,0,0,0,2,2,1.0,http://okx.com,http://okx.com/,0,0,1,FP
0,0,2,0,2,0,0,0,0,0,0,0,0,0,0.0,https://redspell.ru,https://redspell.ru/,0,0,1,FP
0,0,11,0,28,1,0,0,1,0,0,0,0,0,0.0,https://pancakeswap.finance,https://pancakeswap.finance/,0,0,1,FP
0,0,11,0,32,1,0,0,1,0,0,0,0,0,0.0,http://pancakeswap.finance,https://pancakeswap.finance/swap,0,0,1,FP
0,0,9,0,10,0,0,0,0,0,0,0,0,0,0.0,https://laser247.pro,https://laser247.pro/,0,0,1,FP
0,0,47,0,88,0,0,0,0,0,0,0,0,0,0.0,https://retargetly.com,https://www.epsilon.com/latam,0,0,1,FP
0,0,4,0,1,0,0,0,1,0,0,0,0,0,0.0,https://mega.nz,https://mega.nz/,0,0,1,FP
3512,492,7,1,1,106,0,3,0,0,0,1,0,0,0.0,http://vilykke.com,http://vilykke.com/,0,0,1,FP
43819,1723,0,0,0,0,0,0,0,0,0,0,0,0,0.0,https://testfairy.com,https://saucelabs.com/products/testfairy-sauce-labs,0,0,1,FP
0,0,51,0,3,1,0,0,0,0,0,0,0,0,0.0,https://tripster.ru,https://experience.tripster.ru/,0,0,1,FP
4130,505,37,0,0,1,0,0,0,0,0,0,3,2,0.6666666666666666,http://hembed.com,http://hembed.com/,0,0,1,FP
0,0,13,0,5,0,0,0,0,0,0,0,0,0,0.0,https://samsungcloud.com,https://www.samsungcloud.com/,0,0,1,FP
0,0,58,0,3,0,0,0,0,0,0,0,0,0,0.0,https://debank.com,https://debank.com/,0,0,1,FP
5,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,https://surveygizmo.com,https://www.surveygizmo.com/,0,0,1,FP
0,0,42,0,1,0,0,0,0,0,0,0,0,0,0.0,https://ptkin.ac.id,https://ptkin.ac.id/,0,0,1,FP
5,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,https://trdns.com,https://www.trdns.com/,0,0,1,FP
50849,2073,0,0,0,0,0,0,0,0,0,0,0,0,0.0,https://unbxd.io,https://netcoreunbxd.com/,0,0,1,FP
7468,302,0,0,0,0,0,0,0,0,0,0,0,0,0.0,https://powerball.com,https://www.powerball.com/,0,0,1,FP
